DATE,STTMINWGVI
1979-01-01,2.9
1980-01-01,3.1
1981-01-01,3.35
1982-01-01,3.35
1983-01-01,3.35
1984-01-01,3.35
1985-01-01,3.35
1986-01-01,3.35
1987-01-01,3.35
1988-01-01,3.35
1989-01-01,3.35
1990-01-01,3.35
1991-01-01,4.65
1992-01-01,4.65
1993-01-01,4.65
1994-01-01,4.65
1995-01-01,4.65
1996-01-01,4.65
1997-01-01,4.65
1998-01-01,4.65
1999-01-01,4.65
2000-01-01,4.65
2001-01-01,4.65
2002-01-01,4.65
2003-01-01,4.65
2004-01-01,4.65
2005-01-01,4.65
2006-01-01,4.65
2007-01-01,6.15
2008-01-01,6.15
2009-01-01,6.15
2010-01-01,7.25
2011-01-01,7.25
2012-01-01,7.25
2013-01-01,7.25
2014-01-01,7.25
2015-01-01,7.25
2016-01-01,7.25
2017-01-01,7.25
2018-01-01,10.5
2019-01-01,10.5
2020-01-01,10.50
2021-01-01,10.50
2022-01-01,10.50
2023-01-01,10.50
