DATE,STTMINWGVT
1968-01-01,1.4
1969-01-01,1.4
1970-01-01,1.6
1971-01-01,1.6
1972-01-01,1.6
1973-01-01,1.6
1974-01-01,1.6
1975-01-01,1.6
1976-01-01,2.3
1977-01-01,2.3
1978-01-01,2.3
1979-01-01,2.9
1980-01-01,3.1
1981-01-01,3.35
1982-01-01,3.35
1983-01-01,3.35
1984-01-01,3.35
1985-01-01,3.35
1986-01-01,3.35
1987-01-01,3.35
1988-01-01,3.55
1989-01-01,3.55
1990-01-01,3.55
1991-01-01,3.85
1992-01-01,4.25
1993-01-01,4.25
1994-01-01,4.25
1995-01-01,4.25
1996-01-01,4.75
1997-01-01,5
1998-01-01,5.25
1999-01-01,5.25
2000-01-01,5.75
2001-01-01,6.25
2002-01-01,6.25
2003-01-01,6.25
2004-01-01,6.75
2005-01-01,7
2006-01-01,7.25
2007-01-01,7.53
2008-01-01,7.68
2009-01-01,8.06
2010-01-01,8.06
2011-01-01,8.15
2012-01-01,8.46
2013-01-01,8.6
2014-01-01,8.73
2015-01-01,9.15
2016-01-01,9.6
2017-01-01,10
2018-01-01,10.5
2019-01-01,10.78
2020-01-01,10.96
2021-01-01,11.75
2022-01-01,12.55
2023-01-01,13.18
