DATE,STTMINWGWA
1968-01-01,1.6
1969-01-01,1.6
1970-01-01,1.6
1971-01-01,1.6
1972-01-01,1.6
1973-01-01,1.6
1974-01-01,1.6
1975-01-01,1.6
1976-01-01,2.3
1977-01-01,2.3
1978-01-01,2.3
1979-01-01,2.3
1980-01-01,2.3
1981-01-01,2.3
1982-01-01,2.3
1983-01-01,2.3
1984-01-01,2.3
1985-01-01,2.3
1986-01-01,2.3
1987-01-01,2.3
1988-01-01,2.3
1989-01-01,2.3
1990-01-01,2.3
1991-01-01,4.25
1992-01-01,4.25
1993-01-01,4.25
1994-01-01,4.25
1995-01-01,4.25
1996-01-01,4.9
1997-01-01,4.9
1998-01-01,4.9
1999-01-01,4.9
2000-01-01,6.5
2001-01-01,6.72
2002-01-01,6.9
2003-01-01,7.01
2004-01-01,7.16
2005-01-01,7.35
2006-01-01,7.63
2007-01-01,7.93
2008-01-01,8.07
2009-01-01,8.55
2010-01-01,8.55
2011-01-01,8.67
2012-01-01,9.04
2013-01-01,9.19
2014-01-01,9.32
2015-01-01,9.47
2016-01-01,9.47
2017-01-01,11
2018-01-01,11.5
2019-01-01,12
2020-01-01,13.50
2021-01-01,13.69
2022-01-01,14.49
2023-01-01,15.74
