DATE,STTMINWGWY
1968-01-01,1.2
1969-01-01,1.2
1970-01-01,1.3
1971-01-01,1.3
1972-01-01,1.5
1973-01-01,1.5
1974-01-01,1.5
1975-01-01,1.5
1976-01-01,1.6
1977-01-01,1.6
1978-01-01,1.6
1979-01-01,1.6
1980-01-01,1.6
1981-01-01,1.6
1982-01-01,1.6
1983-01-01,1.6
1984-01-01,1.6
1985-01-01,1.6
1986-01-01,1.6
1987-01-01,1.6
1988-01-01,1.6
1989-01-01,1.6
1990-01-01,1.6
1991-01-01,1.6
1992-01-01,1.6
1993-01-01,1.6
1994-01-01,1.6
1995-01-01,1.6
1996-01-01,1.6
1997-01-01,1.6
1998-01-01,1.6
1999-01-01,1.6
2000-01-01,1.6
2001-01-01,1.6
2002-01-01,5.15
2003-01-01,5.15
2004-01-01,5.15
2005-01-01,5.15
2006-01-01,5.15
2007-01-01,5.15
2008-01-01,5.15
2009-01-01,5.15
2010-01-01,5.15
2011-01-01,5.15
2012-01-01,5.15
2013-01-01,5.15
2014-01-01,5.15
2015-01-01,5.15
2016-01-01,5.15
2017-01-01,5.15
2018-01-01,5.15
2019-01-01,7.25
2020-01-01,7.25
2021-01-01,7.25
2022-01-01,7.25
2023-01-01,7.25
