DATE,DCBPPRIVSA
1988-01-01,10.0
1988-02-01,237.0
1988-03-01,99.0
1988-04-01,25.0
1988-05-01,23.0
1988-06-01,19.0
1988-07-01,33.0
1988-08-01,47.0
1988-09-01,15.0
1988-10-01,313.0
1988-11-01,5.0
1988-12-01,26.0
1989-01-01,6.0
1989-02-01,127.0
1989-03-01,3.0
1989-04-01,67.0
1989-05-01,7.0
1989-06-01,28.0
1989-07-01,1.0
1989-08-01,13.0
1989-09-01,2.0
1989-10-01,38.0
1989-11-01,111.0
1989-12-01,7.0
1990-01-01,16.0
1990-02-01,110.0
1990-03-01,6.0
1990-04-01,62.0
1990-05-01,39.0
1990-06-01,7.0
1990-07-01,11.0
1990-08-01,4.0
1990-09-01,76.0
1990-10-01,32.0
1990-11-01,5.0
1990-12-01,0.0
1991-01-01,6.0
1991-02-01,86.0
1991-03-01,25.0
1991-04-01,4.0
1991-05-01,4.0
1991-06-01,3.0
1991-07-01,6.0
1991-08-01,6.0
1991-09-01,24.0
1991-10-01,157.0
1991-11-01,9.0
1991-12-01,3.0
1992-01-01,4.0
1992-02-01,5.0
1992-03-01,1.0
1992-04-01,3.0
1992-05-01,15.0
1992-06-01,12.0
1992-07-01,11.0
1992-08-01,4.0
1992-09-01,1.0
1992-10-01,9.0
1992-11-01,20.0
1992-12-01,2.0
1993-01-01,6.0
1993-02-01,30.0
1993-03-01,0.0
1993-04-01,7.0
1993-05-01,6.0
1993-06-01,47.0
1993-07-01,10.0
1993-08-01,14.0
1993-09-01,8.0
1993-10-01,4.0
1993-11-01,167.0
1993-12-01,0.0
1994-01-01,1.0
1994-02-01,3.0
1994-03-01,1.0
1994-04-01,1.0
1994-05-01,9.0
1994-06-01,18.0
1994-07-01,24.0
1994-08-01,4.0
1994-09-01,33.0
1994-10-01,16.0
1994-11-01,88.0
1994-12-01,12.0
1995-01-01,14.0
1995-02-01,4.0
1995-03-01,0.0
1995-04-01,0.0
1995-05-01,0.0
1995-06-01,0.0
1995-07-01,0.0
1995-08-01,0.0
1995-09-01,7.0
1995-10-01,18.0
1995-11-01,2.0
1995-12-01,0.0
