DATE,FLBPPRIVSA
1988-01-01,12988.2231930431
1988-02-01,13505.1002402496
1988-03-01,15176.3083250998
1988-04-01,13369.1271821165
1988-05-01,13153.7936974858
1988-06-01,15529.9602910744
1988-07-01,12959.5708245086
1988-08-01,14961.270284003702
1988-09-01,15540.205261788
1988-10-01,14373.0322206321
1988-11-01,15305.534428416599
1988-12-01,14430.0360551778
1989-01-01,14946.3162970057
1989-02-01,14854.9009110544
1989-03-01,13668.3594114609
1989-04-01,13946.0190106997
1989-05-01,15160.9173770867
1989-06-01,14164.192726641699
1989-07-01,11134.856374860501
1989-08-01,13188.81170625
1989-09-01,13155.882284880801
1989-10-01,13445.486382898998
1989-11-01,13385.647378989699
1989-12-01,12427.1859475848
1990-01-01,16403.8103226236
1990-02-01,10363.8305945967
1990-03-01,11886.3404187077
1990-04-01,11687.309394026599
1990-05-01,10445.135377049499
1990-06-01,9994.1046383249
1990-07-01,10364.4780084468
1990-08-01,10467.1626944463
1990-09-01,9151.63626927752
1990-10-01,9038.322585549151
1990-11-01,10118.4838411477
1990-12-01,7474.30717446548
1991-01-01,7735.713049207041
1991-02-01,7870.0407172797595
1991-03-01,7248.165089389009
1991-04-01,8245.65035206934
1991-05-01,8941.65578955294
1991-06-01,8305.681310927741
1991-07-01,8621.98826464313
1991-08-01,7998.57655413547
1991-09-01,7469.957826508879
1991-10-01,7746.72549914851
1991-11-01,7530.800244212591
1991-12-01,8968.99595535665
1992-01-01,8067.895099069399
1992-02-01,7879.72917052917
1992-03-01,9380.68540349293
1992-04-01,8467.29252934218
1992-05-01,7335.465822339209
1992-06-01,8514.47352859196
1992-07-01,9040.550781032309
1992-08-01,7983.683620112671
1992-09-01,8723.09131810543
1992-10-01,9361.02112810612
1992-11-01,8592.76227418213
1992-12-01,9266.20985183428
1993-01-01,7851.813758789259
1993-02-01,9834.438763398091
1993-03-01,9332.72838288321
1993-04-01,9894.402185360992
1993-05-01,10136.1030765128
1993-06-01,9836.907259450021
1993-07-01,9346.71588281286
1993-08-01,9978.843448275771
1993-09-01,11204.298212026799
1993-10-01,9337.7805332873
1993-11-01,10741.0114378676
1993-12-01,13472.865950501102
1994-01-01,11272.9072177647
1994-02-01,10610.7603601815
1994-03-01,10704.4447722589
1994-04-01,9907.989398654508
1994-05-01,10218.246673525
1994-06-01,10308.8929068126
1994-07-01,10890.9767526401
1994-08-01,12597.7172377397
1994-09-01,10557.5866241048
1994-10-01,10487.3431538395
1994-11-01,10631.3907936666
1994-12-01,10205.6447744976
1995-01-01,10363.987366739
1995-02-01,9434.704288875899
1995-03-01,9929.84435162239
1995-04-01,9592.46475700968
1995-05-01,9700.29855988096
1995-06-01,10359.5485546438
1995-07-01,9467.863091347808
1995-08-01,9917.63222591126
1995-09-01,12790.5765991904
1995-10-01,9535.930385590009
1995-11-01,11033.304239783201
1995-12-01,10608.4522464194
1996-01-01,10125.3819956917
1996-02-01,10821.7766127716
1996-03-01,9138.08379395639
1996-04-01,11016.8047356318
1996-05-01,10941.9063583401
1996-06-01,9860.16627104054
1996-07-01,10191.4284809584
1996-08-01,10832.4987556749
1996-09-01,10827.5895401741
1996-10-01,9997.79182955097
1996-11-01,10112.3975133925
1996-12-01,9877.75540184999
1997-01-01,10272.2933762144
1997-02-01,10543.4833698337
1997-03-01,11317.747784226201
1997-04-01,11242.6558301734
1997-05-01,10999.5073122557
1997-06-01,10961.8634113588
1997-07-01,11681.976063984199
1997-08-01,9189.60306189165
1997-09-01,11601.1711803747
1997-10-01,11987.5631415
1997-11-01,9478.46458285561
1997-12-01,11035.856665893401
1998-01-01,11172.155626366499
1998-02-01,11011.2035606774
1998-03-01,11404.795901355901
1998-04-01,11610.1483274482
1998-05-01,11179.4043199682
1998-06-01,12044.402967121101
1998-07-01,12716.8823338567
1998-08-01,12692.855154224299
1998-09-01,11419.162544488701
1998-10-01,13284.3660490458
1998-11-01,13407.3151850572
1998-12-01,12973.765318509399
1999-01-01,14215.933499191298
1999-02-01,13953.329459436201
1999-03-01,13271.2093319075
1999-04-01,13804.5225052794
1999-05-01,11150.8985402243
1999-06-01,13702.813002699399
1999-07-01,13143.818135578502
1999-08-01,13590.164780770301
1999-09-01,12695.675598894199
1999-10-01,13166.9290004804
1999-11-01,11910.098636082099
1999-12-01,16268.8774745198
2000-01-01,11628.803361269
2000-02-01,12199.0131325987
2000-03-01,11964.6160506908
2000-04-01,11212.7041423686
2000-05-01,12797.8361552095
2000-06-01,14289.6434698558
2000-07-01,10747.0096825394
2000-08-01,11787.7892517044
2000-09-01,13397.794225809299
2000-10-01,11826.516282401999
2000-11-01,13822.2352526092
2000-12-01,13032.3912304855
2001-01-01,12934.7669026854
2001-02-01,11913.3381106944
2001-03-01,15580.596306109599
2001-04-01,12907.239461141202
2001-05-01,15587.1311683079
2001-06-01,12530.7153785557
2001-07-01,13731.711626081202
2001-08-01,14476.801156104199
2001-09-01,13623.5011996358
2001-10-01,11254.749977310701
2001-11-01,15129.367080806102
2001-12-01,14698.1956327169
2002-01-01,16015.527428751298
2002-02-01,16438.436523465
2002-03-01,14316.250051679499
2002-04-01,14198.1093501741
2002-05-01,13132.948193465802
2002-06-01,14985.5642968876
2002-07-01,15896.703131176399
2002-08-01,15051.3227563821
2002-09-01,14401.724455807
2002-10-01,16077.7179880347
2002-11-01,15041.7705440647
2002-12-01,15420.9930539754
2003-01-01,15636.600744867701
2003-02-01,15684.0828492979
2003-03-01,15042.6855824223
2003-04-01,16770.6243487798
2003-05-01,17766.882981285402
2003-06-01,16472.3946507214
2003-07-01,16280.9276317344
2003-08-01,17125.609160518998
2003-09-01,18527.8626152697
2003-10-01,18543.2931649049
2003-11-01,15621.209902221799
2003-12-01,20676.4360156107
2004-01-01,18217.7322147095
2004-02-01,20101.7618111753
2004-03-01,18662.175468464
2004-04-01,20672.4737577608
2004-05-01,20493.6546149834
2004-06-01,20775.2738876658
2004-07-01,21616.8587188331
2004-08-01,18321.6354602451
2004-09-01,20111.3069367497
2004-10-01,21678.1556029991
2004-11-01,20813.3298522441
2004-12-01,21124.4193585885
2005-01-01,22020.8734156374
2005-02-01,20663.782879893897
2005-03-01,22884.473397319704
2005-04-01,24223.730280480802
