DATE,AKRVAC
1986-01-01,15.3
1987-01-01,15.9
1988-01-01,14.3
1989-01-01,11.0
1990-01-01,6.8
1991-01-01,5.7
1992-01-01,5.8
1993-01-01,4.9
1994-01-01,4.5
1995-01-01,6.0
1996-01-01,5.9
1997-01-01,7.4
1998-01-01,5.8
1999-01-01,6.5
2000-01-01,6.9
2001-01-01,5.2
2002-01-01,5.9
2003-01-01,8.6
2004-01-01,7.0
2005-01-01,7.9
2006-01-01,8.5
2007-01-01,7.7
2008-01-01,8.7
2009-01-01,7.9
2010-01-01,5.6
2011-01-01,5.8
2012-01-01,4.7
2013-01-01,5.3
2014-01-01,6.8
2015-01-01,6.8
2016-01-01,8.1
2017-01-01,7.4
2018-01-01,11.1
2019-01-01,7.5
2020-01-01,7.0
2021-01-01,4.2
2022-01-01,5.3
