DATE,ALRVAC
1986-01-01,5.0
1987-01-01,5.0
1988-01-01,6.8
1989-01-01,6.9
1990-01-01,8.1
1991-01-01,7.2
1992-01-01,6.4
1993-01-01,6.8
1994-01-01,7.2
1995-01-01,8.5
1996-01-01,8.7
1997-01-01,7.3
1998-01-01,9.7
1999-01-01,13.5
2000-01-01,14.4
2001-01-01,14.2
2002-01-01,13.4
2003-01-01,14.0
2004-01-01,14.8
2005-01-01,13.2
2006-01-01,13.4
2007-01-01,15.3
2008-01-01,15.3
2009-01-01,14.4
2010-01-01,12.1
2011-01-01,14.2
2012-01-01,11.1
2013-01-01,11.8
2014-01-01,14.0
2015-01-01,14.9
2016-01-01,14.6
2017-01-01,14.0
2018-01-01,13.2
2019-01-01,12.6
2020-01-01,13.6
2021-01-01,11.7
2022-01-01,8.1
