DATE,ARRVAC
1986-01-01,7.4
1987-01-01,7.8
1988-01-01,8.5
1989-01-01,8.0
1990-01-01,7.9
1991-01-01,8.6
1992-01-01,6.9
1993-01-01,7.2
1994-01-01,6.8
1995-01-01,7.4
1996-01-01,7.2
1997-01-01,8.1
1998-01-01,13.1
1999-01-01,11.4
2000-01-01,11.4
2001-01-01,13.4
2002-01-01,10.7
2003-01-01,12.7
2004-01-01,13.5
2005-01-01,13.7
2006-01-01,13.5
2007-01-01,11.8
2008-01-01,13.4
2009-01-01,13.0
2010-01-01,11.4
2011-01-01,12.6
2012-01-01,10.6
2013-01-01,13.2
2014-01-01,14.7
2015-01-01,11.3
2016-01-01,11.1
2017-01-01,11.6
2018-01-01,9.9
2019-01-01,9.6
2020-01-01,8.4
2021-01-01,7.5
2022-01-01,10.5
