DATE,AZRVAC
1986-01-01,13.1
1987-01-01,12.7
1988-01-01,11.8
1989-01-01,10.5
1990-01-01,10.7
1991-01-01,9.6
1992-01-01,9.5
1993-01-01,7.4
1994-01-01,8.8
1995-01-01,7.2
1996-01-01,10.2
1997-01-01,9.1
1998-01-01,9.3
1999-01-01,10.6
2000-01-01,10.7
2001-01-01,10.9
2002-01-01,11.2
2003-01-01,12.0
2004-01-01,11.3
2005-01-01,11.6
2006-01-01,9.3
2007-01-01,9.6
2008-01-01,14.1
2009-01-01,17.7
2010-01-01,14.9
2011-01-01,12.4
2012-01-01,11.4
2013-01-01,10.8
2014-01-01,9.5
2015-01-01,7.7
2016-01-01,6.8
2017-01-01,7.5
2018-01-01,6.0
2019-01-01,5.8
2020-01-01,5.5
2021-01-01,4.8
2022-01-01,6.2
