DATE,CARVAC
1986-01-01,4.9
1987-01-01,5.4
1988-01-01,6.2
1989-01-01,5.9
1990-01-01,6.0
1991-01-01,6.2
1992-01-01,7.5
1993-01-01,8.2
1994-01-01,7.9
1995-01-01,8.5
1996-01-01,7.2
1997-01-01,6.5
1998-01-01,6.0
1999-01-01,5.0
2000-01-01,4.5
2001-01-01,4.2
2002-01-01,5.0
2003-01-01,5.4
2004-01-01,5.4
2005-01-01,6.0
2006-01-01,5.8
2007-01-01,6.1
2008-01-01,6.4
2009-01-01,7.6
2010-01-01,7.5
2011-01-01,6.1
2012-01-01,5.2
2013-01-01,5.1
2014-01-01,4.5
2015-01-01,4.1
2016-01-01,3.6
2017-01-01,4.3
2018-01-01,4.4
2019-01-01,4.2
2020-01-01,4.0
2021-01-01,4.3
2022-01-01,3.9
