DATE,CORVAC
1986-01-01,13.6
1987-01-01,11.6
1988-01-01,13.0
1989-01-01,12.4
1990-01-01,10.2
1991-01-01,5.8
1992-01-01,5.8
1993-01-01,4.9
1994-01-01,5.3
1995-01-01,4.3
1996-01-01,6.1
1997-01-01,3.7
1998-01-01,5.3
1999-01-01,6.8
2000-01-01,5.4
2001-01-01,9.1
2002-01-01,10.5
2003-01-01,12.2
2004-01-01,12.7
2005-01-01,13.5
2006-01-01,10.5
2007-01-01,10.1
2008-01-01,8.3
2009-01-01,10.9
2010-01-01,7.9
2011-01-01,7.4
2012-01-01,5.8
2013-01-01,6.8
2014-01-01,4.9
2015-01-01,5.3
2016-01-01,4.7
2017-01-01,5.5
2018-01-01,3.4
2019-01-01,4.1
2020-01-01,4.0
2021-01-01,4.5
2022-01-01,4.1
