DATE,CTRVAC
1986-01-01,5.0
1987-01-01,4.8
1988-01-01,5.8
1989-01-01,5.9
1990-01-01,7.5
1991-01-01,7.7
1992-01-01,8.3
1993-01-01,11.1
1994-01-01,11.4
1995-01-01,15.2
1996-01-01,10.7
1997-01-01,7.7
1998-01-01,9.2
1999-01-01,7.3
2000-01-01,8.6
2001-01-01,8.0
2002-01-01,4.6
2003-01-01,9.1
2004-01-01,8.4
2005-01-01,8.3
2006-01-01,7.9
2007-01-01,8.0
2008-01-01,8.6
2009-01-01,8.3
2010-01-01,10.7
2011-01-01,9.5
2012-01-01,7.4
2013-01-01,7.7
2014-01-01,5.8
2015-01-01,6.3
2016-01-01,7.0
2017-01-01,6.8
2018-01-01,6.1
2019-01-01,5.6
2020-01-01,5.6
2021-01-01,5.1
2022-01-01,3.3
