DATE,DCRVAC
1986-01-01,3.5
1987-01-01,4.8
1988-01-01,5.2
1989-01-01,5.1
1990-01-01,7.7
1991-01-01,8.8
1992-01-01,9.7
1993-01-01,7.7
1994-01-01,10.3
1995-01-01,12.9
1996-01-01,13.4
1997-01-01,13.2
1998-01-01,12.6
1999-01-01,12.0
2000-01-01,11.7
2001-01-01,12.5
2002-01-01,10.8
2003-01-01,10.7
2004-01-01,11.3
2005-01-01,7.7
2006-01-01,7.8
2007-01-01,9.6
2008-01-01,8.6
2009-01-01,9.9
2010-01-01,9.0
2011-01-01,8.4
2012-01-01,7.8
2013-01-01,7.7
2014-01-01,6.5
2015-01-01,5.4
2016-01-01,5.8
2017-01-01,7.1
2018-01-01,7.9
2019-01-01,6.0
2020-01-01,8.2
2021-01-01,9.8
2022-01-01,7.9
