DATE,DERVAC
1986-01-01,4.9
1987-01-01,5.5
1988-01-01,6.9
1989-01-01,6.7
1990-01-01,6.0
1991-01-01,8.0
1992-01-01,9.1
1993-01-01,8.4
1994-01-01,8.3
1995-01-01,10.6
1996-01-01,7.7
1997-01-01,8.5
1998-01-01,11.2
1999-01-01,9.9
2000-01-01,10.6
2001-01-01,10.5
2002-01-01,8.7
2003-01-01,10.5
2004-01-01,11.0
2005-01-01,11.3
2006-01-01,12.2
2007-01-01,15.0
2008-01-01,13.4
2009-01-01,12.4
2010-01-01,9.9
2011-01-01,11.2
2012-01-01,9.3
2013-01-01,8.6
2014-01-01,7.4
2015-01-01,6.4
2016-01-01,8.1
2017-01-01,6.4
2018-01-01,7.1
2019-01-01,6.3
2020-01-01,6.1
2021-01-01,3.8
2022-01-01,3.5
