DATE,GARVAC
1986-01-01,6.2
1987-01-01,6.1
1988-01-01,7.5
1989-01-01,10.0
1990-01-01,9.4
1991-01-01,9.7
1992-01-01,8.9
1993-01-01,7.3
1994-01-01,9.1
1995-01-01,11.3
1996-01-01,11.6
1997-01-01,11.2
1998-01-01,12.0
1999-01-01,10.3
2000-01-01,9.7
2001-01-01,12.3
2002-01-01,14.2
2003-01-01,14.7
2004-01-01,16.3
2005-01-01,14.6
2006-01-01,13.0
2007-01-01,13.1
2008-01-01,14.5
2009-01-01,14.3
2010-01-01,12.3
2011-01-01,10.0
2012-01-01,9.9
2013-01-01,10.6
2014-01-01,9.7
2015-01-01,8.0
2016-01-01,7.2
2017-01-01,7.6
2018-01-01,7.1
2019-01-01,7.6
2020-01-01,7.1
2021-01-01,6.0
2022-01-01,7.0
