DATE,HIRVAC
1986-01-01,5.7
1987-01-01,6.5
1988-01-01,6.3
1989-01-01,6.6
1990-01-01,6.6
1991-01-01,5.8
1992-01-01,5.8
1993-01-01,6.8
1994-01-01,7.4
1995-01-01,6.3
1996-01-01,6.0
1997-01-01,7.1
1998-01-01,6.9
1999-01-01,7.6
2000-01-01,5.3
2001-01-01,8.2
2002-01-01,7.3
2003-01-01,8.9
2004-01-01,7.7
2005-01-01,5.1
2006-01-01,5.5
2007-01-01,6.3
2008-01-01,7.2
2009-01-01,9.2
2010-01-01,8.1
2011-01-01,9.4
2012-01-01,10.2
2013-01-01,10.1
2014-01-01,8.3
2015-01-01,8.7
2016-01-01,10.6
2017-01-01,8.7
2018-01-01,8.5
2019-01-01,7.4
2020-01-01,7.5
2021-01-01,7.3
2022-01-01,6.9
