DATE,IARVAC
1986-01-01,9.5
1987-01-01,8.0
1988-01-01,8.1
1989-01-01,8.5
1990-01-01,7.8
1991-01-01,7.0
1992-01-01,3.9
1993-01-01,4.3
1994-01-01,4.9
1995-01-01,5.3
1996-01-01,5.5
1997-01-01,6.4
1998-01-01,6.0
1999-01-01,7.3
2000-01-01,6.9
2001-01-01,8.2
2002-01-01,8.6
2003-01-01,8.3
2004-01-01,9.4
2005-01-01,13.1
2006-01-01,13.5
2007-01-01,10.9
2008-01-01,8.9
2009-01-01,8.5
2010-01-01,8.1
2011-01-01,7.2
2012-01-01,6.3
2013-01-01,6.4
2014-01-01,5.7
2015-01-01,5.7
2016-01-01,5.4
2017-01-01,7.0
2018-01-01,7.4
2019-01-01,6.7
2020-01-01,8.9
2021-01-01,7.3
2022-01-01,7.6
