DATE,IDRVAC
1986-01-01,8.8
1987-01-01,9.0
1988-01-01,6.4
1989-01-01,6.0
1990-01-01,5.4
1991-01-01,3.9
1992-01-01,2.7
1993-01-01,3.7
1994-01-01,3.6
1995-01-01,4.5
1996-01-01,5.8
1997-01-01,6.8
1998-01-01,5.5
1999-01-01,6.1
2000-01-01,6.7
2001-01-01,6.0
2002-01-01,6.4
2003-01-01,9.7
2004-01-01,9.8
2005-01-01,7.0
2006-01-01,7.4
2007-01-01,8.1
2008-01-01,10.3
2009-01-01,11.0
2010-01-01,8.8
2011-01-01,8.9
2012-01-01,7.1
2013-01-01,6.4
2014-01-01,6.1
2015-01-01,5.8
2016-01-01,6.0
2017-01-01,7.7
2018-01-01,5.5
2019-01-01,4.5
2020-01-01,4.4
2021-01-01,4.4
2022-01-01,4.0
