DATE,ILRVAC
1986-01-01,6.9
1987-01-01,5.9
1988-01-01,6.9
1989-01-01,7.2
1990-01-01,6.1
1991-01-01,6.5
1992-01-01,7.0
1993-01-01,6.3
1994-01-01,6.8
1995-01-01,7.4
1996-01-01,7.9
1997-01-01,8.5
1998-01-01,7.4
1999-01-01,6.9
2000-01-01,7.8
2001-01-01,9.0
2002-01-01,10.9
2003-01-01,12.0
2004-01-01,14.8
2005-01-01,13.4
2006-01-01,12.6
2007-01-01,10.4
2008-01-01,10.0
2009-01-01,10.8
2010-01-01,11.0
2011-01-01,10.2
2012-01-01,9.5
2013-01-01,9.6
2014-01-01,9.2
2015-01-01,7.5
2016-01-01,7.6
2017-01-01,8.0
2018-01-01,7.4
2019-01-01,7.5
2020-01-01,7.9
2021-01-01,8.2
2022-01-01,7.4
