DATE,INRVAC
1986-01-01,7.5
1987-01-01,8.2
1988-01-01,7.9
1989-01-01,6.2
1990-01-01,5.3
1991-01-01,6.2
1992-01-01,7.0
1993-01-01,7.2
1994-01-01,5.0
1995-01-01,5.2
1996-01-01,6.9
1997-01-01,7.2
1998-01-01,8.1
1999-01-01,11.5
2000-01-01,10.6
2001-01-01,10.3
2002-01-01,12.1
2003-01-01,12.8
2004-01-01,12.9
2005-01-01,14.2
2006-01-01,14.0
2007-01-01,13.3
2008-01-01,14.8
2009-01-01,11.9
2010-01-01,11.8
2011-01-01,13.0
2012-01-01,12.5
2013-01-01,13.1
2014-01-01,10.8
2015-01-01,9.2
2016-01-01,9.8
2017-01-01,10.4
2018-01-01,9.0
2019-01-01,6.7
2020-01-01,9.3
2021-01-01,8.4
2022-01-01,8.8
