DATE,KSRVAC
1986-01-01,10.3
1987-01-01,9.4
1988-01-01,10.1
1989-01-01,9.3
1990-01-01,7.8
1991-01-01,6.9
1992-01-01,5.9
1993-01-01,6.2
1994-01-01,9.0
1995-01-01,6.2
1996-01-01,9.9
1997-01-01,9.4
1998-01-01,8.4
1999-01-01,7.7
2000-01-01,9.2
2001-01-01,10.1
2002-01-01,11.6
2003-01-01,10.5
2004-01-01,13.6
2005-01-01,12.8
2006-01-01,11.3
2007-01-01,11.1
2008-01-01,10.3
2009-01-01,10.5
2010-01-01,11.3
2011-01-01,8.7
2012-01-01,8.0
2013-01-01,10.0
2014-01-01,8.8
2015-01-01,12.0
2016-01-01,11.1
2017-01-01,11.5
2018-01-01,10.5
2019-01-01,11.8
2020-01-01,12.1
2021-01-01,8.8
2022-01-01,8.5
