DATE,LARVAC
1986-01-01,12.1
1987-01-01,15.6
1988-01-01,13.6
1989-01-01,13.2
1990-01-01,13.1
1991-01-01,9.5
1992-01-01,7.8
1993-01-01,7.2
1994-01-01,9.4
1995-01-01,9.6
1996-01-01,7.8
1997-01-01,8.4
1998-01-01,9.7
1999-01-01,12.8
2000-01-01,11.2
2001-01-01,8.8
2002-01-01,8.3
2003-01-01,8.8
2004-01-01,7.3
2005-01-01,8.8
2006-01-01,7.9
2007-01-01,8.8
2008-01-01,10.3
2009-01-01,11.4
2010-01-01,12.5
2011-01-01,11.7
2012-01-01,12.6
2013-01-01,8.8
2014-01-01,8.4
2015-01-01,10.0
2016-01-01,11.4
2017-01-01,10.7
2018-01-01,10.1
2019-01-01,10.7
2020-01-01,8.0
2021-01-01,7.7
2022-01-01,6.9
