DATE,MDRVAC
1986-01-01,5.3
1987-01-01,6.9
1988-01-01,5.0
1989-01-01,5.5
1990-01-01,5.2
1991-01-01,6.7
1992-01-01,7.2
1993-01-01,8.7
1994-01-01,8.1
1995-01-01,5.7
1996-01-01,6.7
1997-01-01,8.0
1998-01-01,5.7
1999-01-01,5.5
2000-01-01,4.6
2001-01-01,7.6
2002-01-01,7.5
2003-01-01,9.4
2004-01-01,8.2
2005-01-01,8.8
2006-01-01,10.2
2007-01-01,11.4
2008-01-01,11.3
2009-01-01,11.1
2010-01-01,10.5
2011-01-01,10.1
2012-01-01,9.3
2013-01-01,8.6
2014-01-01,7.5
2015-01-01,8.1
2016-01-01,7.5
2017-01-01,7.8
2018-01-01,9.0
2019-01-01,8.1
2020-01-01,5.6
2021-01-01,5.0
2022-01-01,5.3
