DATE,MERVAC
1986-01-01,5.1
1987-01-01,5.4
1988-01-01,5.1
1989-01-01,6.0
1990-01-01,9.7
1991-01-01,10.8
1992-01-01,10.7
1993-01-01,10.4
1994-01-01,11.0
1995-01-01,8.6
1996-01-01,7.2
1997-01-01,6.1
1998-01-01,6.2
1999-01-01,7.4
2000-01-01,6.0
2001-01-01,4.9
2002-01-01,5.6
2003-01-01,6.1
2004-01-01,6.8
2005-01-01,6.8
2006-01-01,6.8
2007-01-01,6.4
2008-01-01,7.6
2009-01-01,7.7
2010-01-01,6.2
2011-01-01,6.1
2012-01-01,5.3
2013-01-01,5.5
2014-01-01,5.1
2015-01-01,4.4
2016-01-01,4.0
2017-01-01,4.0
2018-01-01,4.4
2019-01-01,4.1
2020-01-01,3.5
2021-01-01,4.1
2022-01-01,4.0
