DATE,MIRVAC
1986-01-01,5.0
1987-01-01,6.8
1988-01-01,7.3
1989-01-01,7.5
1990-01-01,7.3
1991-01-01,7.2
1992-01-01,7.7
1993-01-01,7.9
1994-01-01,8.9
1995-01-01,8.8
1996-01-01,10.2
1997-01-01,8.9
1998-01-01,8.3
1999-01-01,10.2
2000-01-01,9.6
2001-01-01,10.9
2002-01-01,10.5
2003-01-01,10.5
2004-01-01,13.0
2005-01-01,13.1
2006-01-01,18.1
2007-01-01,17.0
2008-01-01,14.6
2009-01-01,13.3
2010-01-01,13.1
2011-01-01,13.2
2012-01-01,11.9
2013-01-01,9.8
2014-01-01,8.2
2015-01-01,7.4
2016-01-01,7.5
2017-01-01,7.6
2018-01-01,7.4
2019-01-01,6.8
2020-01-01,6.4
2021-01-01,5.7
2022-01-01,5.5
