DATE,MNRVAC
1986-01-01,4.9
1987-01-01,4.9
1988-01-01,5.5
1989-01-01,5.8
1990-01-01,6.5
1991-01-01,6.6
1992-01-01,5.4
1993-01-01,4.9
1994-01-01,5.2
1995-01-01,6.7
1996-01-01,5.5
1997-01-01,4.7
1998-01-01,6.2
1999-01-01,5.2
2000-01-01,5.2
2001-01-01,5.5
2002-01-01,6.6
2003-01-01,7.9
2004-01-01,9.1
2005-01-01,10.5
2006-01-01,8.9
2007-01-01,7.6
2008-01-01,6.8
2009-01-01,8.4
2010-01-01,8.3
2011-01-01,7.3
2012-01-01,5.9
2013-01-01,6.6
2014-01-01,5.6
2015-01-01,4.9
2016-01-01,4.2
2017-01-01,5.8
2018-01-01,5.0
2019-01-01,5.0
2020-01-01,4.6
2021-01-01,6.6
2022-01-01,7.3
