DATE,MORVAC
1986-01-01,9.7
1987-01-01,8.8
1988-01-01,7.5
1989-01-01,8.3
1990-01-01,9.6
1991-01-01,11.1
1992-01-01,9.9
1993-01-01,9.4
1994-01-01,10.1
1995-01-01,10.0
1996-01-01,8.6
1997-01-01,8.9
1998-01-01,9.2
1999-01-01,9.9
2000-01-01,15.0
2001-01-01,17.4
2002-01-01,9.2
2003-01-01,9.5
2004-01-01,10.3
2005-01-01,13.8
2006-01-01,11.3
2007-01-01,11.7
2008-01-01,11.3
2009-01-01,11.1
2010-01-01,11.6
2011-01-01,10.8
2012-01-01,10.4
2013-01-01,11.0
2014-01-01,9.9
2015-01-01,9.1
2016-01-01,9.1
2017-01-01,9.9
2018-01-01,10.0
2019-01-01,9.3
2020-01-01,6.7
2021-01-01,8.6
2022-01-01,7.1
