DATE,MSRVAC
1986-01-01,9.1
1987-01-01,10.7
1988-01-01,9.8
1989-01-01,10.5
1990-01-01,8.7
1991-01-01,7.8
1992-01-01,7.4
1993-01-01,8.0
1994-01-01,7.9
1995-01-01,13.2
1996-01-01,13.2
1997-01-01,11.5
1998-01-01,9.9
1999-01-01,11.2
2000-01-01,11.6
2001-01-01,13.5
2002-01-01,15.4
2003-01-01,15.8
2004-01-01,12.5
2005-01-01,13.2
2006-01-01,12.9
2007-01-01,9.4
2008-01-01,11.4
2009-01-01,16.0
2010-01-01,15.6
2011-01-01,14.5
2012-01-01,11.0
2013-01-01,13.6
2014-01-01,11.1
2015-01-01,10.4
2016-01-01,9.6
2017-01-01,11.8
2018-01-01,9.7
2019-01-01,8.7
2020-01-01,8.6
2021-01-01,9.2
2022-01-01,8.4
