DATE,MTRVAC
1986-01-01,8.1
1987-01-01,10.3
1988-01-01,9.3
1989-01-01,9.7
1990-01-01,8.1
1991-01-01,6.6
1992-01-01,4.2
1993-01-01,3.4
1994-01-01,3.5
1995-01-01,3.6
1996-01-01,5.1
1997-01-01,5.0
1998-01-01,5.8
1999-01-01,5.4
2000-01-01,7.5
2001-01-01,6.6
2002-01-01,7.0
2003-01-01,8.5
2004-01-01,9.7
2005-01-01,10.3
2006-01-01,7.9
2007-01-01,6.0
2008-01-01,5.6
2009-01-01,6.6
2010-01-01,5.7
2011-01-01,4.9
2012-01-01,5.9
2013-01-01,5.2
2014-01-01,4.0
2015-01-01,3.9
2016-01-01,6.0
2017-01-01,6.9
2018-01-01,5.9
2019-01-01,5.0
2020-01-01,4.4
2021-01-01,4.1
2022-01-01,3.2
