DATE,NCRVAC
1986-01-01,7.0
1987-01-01,6.1
1988-01-01,7.0
1989-01-01,7.4
1990-01-01,7.2
1991-01-01,7.7
1992-01-01,7.0
1993-01-01,5.6
1994-01-01,6.1
1995-01-01,8.2
1996-01-01,8.0
1997-01-01,9.7
1998-01-01,11.5
1999-01-01,10.8
2000-01-01,11.2
2001-01-01,12.4
2002-01-01,13.6
2003-01-01,15.0
2004-01-01,13.3
2005-01-01,13.8
2006-01-01,11.7
2007-01-01,12.4
2008-01-01,12.8
2009-01-01,12.8
2010-01-01,12.0
2011-01-01,11.3
2012-01-01,11.2
2013-01-01,9.6
2014-01-01,8.1
2015-01-01,9.8
2016-01-01,8.3
2017-01-01,7.8
2018-01-01,7.1
2019-01-01,6.7
2020-01-01,5.8
2021-01-01,5.3
2022-01-01,6.3
