DATE,NDRVAC
1986-01-01,9.3
1987-01-01,8.9
1988-01-01,7.0
1989-01-01,7.9
1990-01-01,8.0
1991-01-01,6.2
1992-01-01,5.1
1993-01-01,4.8
1994-01-01,5.1
1995-01-01,6.7
1996-01-01,8.5
1997-01-01,8.3
1998-01-01,9.9
1999-01-01,10.6
2000-01-01,11.7
2001-01-01,9.9
2002-01-01,11.2
2003-01-01,9.8
2004-01-01,10.4
2005-01-01,8.5
2006-01-01,8.9
2007-01-01,7.6
2008-01-01,8.2
2009-01-01,7.0
2010-01-01,7.4
2011-01-01,9.8
2012-01-01,6.9
2013-01-01,8.2
2014-01-01,8.6
2015-01-01,9.6
2016-01-01,15.4
2017-01-01,16.7
2018-01-01,14.3
2019-01-01,11.6
2020-01-01,13.6
2021-01-01,13.3
2022-01-01,12.2
