DATE,NHRVAC
1986-01-01,4.9
1987-01-01,7.7
1988-01-01,6.7
1989-01-01,7.7
1990-01-01,9.7
1991-01-01,11.0
1992-01-01,9.5
1993-01-01,6.7
1994-01-01,7.7
1995-01-01,5.4
1996-01-01,5.6
1997-01-01,6.2
1998-01-01,3.9
1999-01-01,4.4
2000-01-01,3.2
2001-01-01,3.3
2002-01-01,3.4
2003-01-01,6.0
2004-01-01,4.8
2005-01-01,5.1
2006-01-01,6.0
2007-01-01,5.7
2008-01-01,7.5
2009-01-01,7.4
2010-01-01,7.2
2011-01-01,7.5
2012-01-01,7.2
2013-01-01,6.4
2014-01-01,5.6
2015-01-01,5.7
2016-01-01,4.6
2017-01-01,3.7
2018-01-01,3.7
2019-01-01,4.0
2020-01-01,2.4
2021-01-01,3.5
2022-01-01,4.3
