DATE,NJRVAC
1986-01-01,4.0
1987-01-01,3.9
1988-01-01,5.1
1989-01-01,4.6
1990-01-01,5.9
1991-01-01,7.7
1992-01-01,6.9
1993-01-01,8.2
1994-01-01,7.1
1995-01-01,6.6
1996-01-01,7.7
1997-01-01,5.5
1998-01-01,4.5
1999-01-01,3.9
2000-01-01,4.3
2001-01-01,4.3
2002-01-01,4.8
2003-01-01,6.3
2004-01-01,6.2
2005-01-01,6.2
2006-01-01,7.3
2007-01-01,6.8
2008-01-01,6.4
2009-01-01,9.7
2010-01-01,9.1
2011-01-01,8.8
2012-01-01,11.2
2013-01-01,7.8
2014-01-01,6.2
2015-01-01,5.5
2016-01-01,5.5
2017-01-01,4.9
2018-01-01,5.0
2019-01-01,4.2
2020-01-01,2.9
2021-01-01,3.6
2022-01-01,3.7
