DATE,NMRVAC
1986-01-01,9.3
1987-01-01,10.7
1988-01-01,8.8
1989-01-01,12.7
1990-01-01,13.7
1991-01-01,13.2
1992-01-01,7.8
1993-01-01,3.5
1994-01-01,5.1
1995-01-01,4.8
1996-01-01,7.1
1997-01-01,9.5
1998-01-01,10.2
1999-01-01,12.5
2000-01-01,13.2
2001-01-01,12.7
2002-01-01,10.7
2003-01-01,11.4
2004-01-01,8.1
2005-01-01,7.7
2006-01-01,8.1
2007-01-01,9.3
2008-01-01,7.6
2009-01-01,9.5
2010-01-01,6.3
2011-01-01,7.4
2012-01-01,7.0
2013-01-01,9.6
2014-01-01,10.8
2015-01-01,10.3
2016-01-01,9.5
2017-01-01,10.5
2018-01-01,9.1
2019-01-01,7.1
2020-01-01,6.5
2021-01-01,6.9
2022-01-01,6.0
