DATE,NVRVAC
1986-01-01,11.8
1987-01-01,9.5
1988-01-01,9.3
1989-01-01,10.9
1990-01-01,8.4
1991-01-01,8.5
1992-01-01,9.0
1993-01-01,9.1
1994-01-01,6.1
1995-01-01,6.8
1996-01-01,7.1
1997-01-01,7.5
1998-01-01,9.3
1999-01-01,9.7
2000-01-01,11.6
2001-01-01,12.0
2002-01-01,13.6
2003-01-01,11.6
2004-01-01,10.6
2005-01-01,8.4
2006-01-01,9.1
2007-01-01,9.8
2008-01-01,14.0
2009-01-01,14.2
2010-01-01,13.4
2011-01-01,11.0
2012-01-01,11.9
2013-01-01,13.1
2014-01-01,9.7
2015-01-01,8.0
2016-01-01,6.7
2017-01-01,6.7
2018-01-01,6.2
2019-01-01,5.8
2020-01-01,5.2
2021-01-01,4.6
2022-01-01,6.0
