DATE,NYRVAC
1986-01-01,2.9
1987-01-01,3.3
1988-01-01,4.1
1989-01-01,3.7
1990-01-01,4.9
1991-01-01,5.5
1992-01-01,5.8
1993-01-01,5.5
1994-01-01,5.9
1995-01-01,6.3
1996-01-01,6.9
1997-01-01,6.2
1998-01-01,6.6
1999-01-01,6.1
2000-01-01,5.5
2001-01-01,5.3
2002-01-01,5.8
2003-01-01,5.6
2004-01-01,6.1
2005-01-01,5.1
2006-01-01,5.8
2007-01-01,6.1
2008-01-01,5.7
2009-01-01,5.7
2010-01-01,6.8
2011-01-01,6.5
2012-01-01,5.5
2013-01-01,5.7
2014-01-01,4.9
2015-01-01,5.1
2016-01-01,5.2
2017-01-01,5.2
2018-01-01,5.2
2019-01-01,5.2
2020-01-01,5.5
2021-01-01,5.9
2022-01-01,4.3
