DATE,OHRVAC
1986-01-01,6.3
1987-01-01,6.5
1988-01-01,6.4
1989-01-01,5.9
1990-01-01,5.5
1991-01-01,5.4
1992-01-01,6.2
1993-01-01,7.1
1994-01-01,6.8
1995-01-01,7.4
1996-01-01,8.1
1997-01-01,8.9
1998-01-01,8.7
1999-01-01,9.8
2000-01-01,9.0
2001-01-01,9.6
2002-01-01,11.0
2003-01-01,11.8
2004-01-01,13.0
2005-01-01,13.4
2006-01-01,12.3
2007-01-01,11.9
2008-01-01,10.5
2009-01-01,10.7
2010-01-01,11.5
2011-01-01,10.5
2012-01-01,9.3
2013-01-01,8.2
2014-01-01,7.4
2015-01-01,7.8
2016-01-01,6.9
2017-01-01,6.6
2018-01-01,7.1
2019-01-01,6.4
2020-01-01,6.1
2021-01-01,5.8
2022-01-01,5.3
