DATE,ORRVAC
1986-01-01,7.0
1987-01-01,6.1
1988-01-01,6.0
1989-01-01,4.2
1990-01-01,3.3
1991-01-01,5.1
1992-01-01,4.9
1993-01-01,5.6
1994-01-01,3.9
1995-01-01,4.0
1996-01-01,5.9
1997-01-01,5.4
1998-01-01,7.7
1999-01-01,7.6
2000-01-01,6.8
2001-01-01,6.8
2002-01-01,8.4
2003-01-01,9.9
2004-01-01,11.8
2005-01-01,8.3
2006-01-01,7.5
2007-01-01,5.9
2008-01-01,5.4
2009-01-01,6.2
2010-01-01,5.5
2011-01-01,4.0
2012-01-01,4.9
2013-01-01,3.9
2014-01-01,4.1
2015-01-01,4.6
2016-01-01,4.4
2017-01-01,5.6
2018-01-01,4.6
2019-01-01,5.1
2020-01-01,4.7
2021-01-01,4.5
2022-01-01,4.1
