DATE,PARVAC
1986-01-01,5.4
1987-01-01,5.7
1988-01-01,6.0
1989-01-01,6.0
1990-01-01,7.2
1991-01-01,7.1
1992-01-01,7.0
1993-01-01,7.5
1994-01-01,8.0
1995-01-01,8.0
1996-01-01,8.7
1997-01-01,10.1
1998-01-01,9.1
1999-01-01,10.3
2000-01-01,8.3
2001-01-01,7.3
2002-01-01,7.9
2003-01-01,10.0
2004-01-01,11.7
2005-01-01,10.0
2006-01-01,10.6
2007-01-01,10.0
2008-01-01,9.5
2009-01-01,9.0
2010-01-01,8.8
2011-01-01,8.6
2012-01-01,9.1
2013-01-01,10.0
2014-01-01,8.7
2015-01-01,7.2
2016-01-01,6.3
2017-01-01,7.2
2018-01-01,6.7
2019-01-01,7.2
2020-01-01,7.5
2021-01-01,6.3
2022-01-01,5.3
