DATE,RIRVAC
1986-01-01,4.9
1987-01-01,4.8
1988-01-01,5.0
1989-01-01,7.4
1990-01-01,9.6
1991-01-01,9.6
1992-01-01,8.7
1993-01-01,8.6
1994-01-01,8.0
1995-01-01,7.1
1996-01-01,7.2
1997-01-01,6.0
1998-01-01,5.3
1999-01-01,5.1
2000-01-01,5.3
2001-01-01,3.9
2002-01-01,4.0
2003-01-01,5.2
2004-01-01,6.1
2005-01-01,7.7
2006-01-01,7.5
2007-01-01,9.5
2008-01-01,8.7
2009-01-01,8.4
2010-01-01,7.1
2011-01-01,7.9
2012-01-01,6.8
2013-01-01,6.1
2014-01-01,6.7
2015-01-01,4.4
2016-01-01,3.7
2017-01-01,3.5
2018-01-01,3.2
2019-01-01,3.9
2020-01-01,2.6
2021-01-01,2.8
2022-01-01,4.6
