DATE,SCRVAC
1986-01-01,6.2
1987-01-01,9.1
1988-01-01,10.6
1989-01-01,9.1
1990-01-01,8.4
1991-01-01,11.1
1992-01-01,10.0
1993-01-01,10.6
1994-01-01,12.3
1995-01-01,9.3
1996-01-01,14.1
1997-01-01,15.1
1998-01-01,16.7
1999-01-01,16.4
2000-01-01,15.5
2001-01-01,17.3
2002-01-01,15.7
2003-01-01,16.2
2004-01-01,14.7
2005-01-01,10.0
2006-01-01,10.6
2007-01-01,10.6
2008-01-01,13.4
2009-01-01,16.2
2010-01-01,13.9
2011-01-01,11.6
2012-01-01,9.7
2013-01-01,11.2
2014-01-01,12.0
2015-01-01,8.9
2016-01-01,8.8
2017-01-01,10.4
2018-01-01,11.0
2019-01-01,10.8
2020-01-01,9.7
2021-01-01,8.0
2022-01-01,7.8
