DATE,SDRVAC
1986-01-01,8.4
1987-01-01,6.9
1988-01-01,6.8
1989-01-01,7.1
1990-01-01,5.3
1991-01-01,4.5
1992-01-01,3.1
1993-01-01,4.3
1994-01-01,5.3
1995-01-01,5.9
1996-01-01,9.9
1997-01-01,12.6
1998-01-01,9.4
1999-01-01,10.0
2000-01-01,7.7
2001-01-01,8.2
2002-01-01,9.5
2003-01-01,12.8
2004-01-01,11.2
2005-01-01,8.8
2006-01-01,8.3
2007-01-01,8.9
2008-01-01,8.5
2009-01-01,8.3
2010-01-01,9.5
2011-01-01,9.2
2012-01-01,8.9
2013-01-01,7.4
2014-01-01,8.3
2015-01-01,6.4
2016-01-01,7.3
2017-01-01,7.2
2018-01-01,7.3
2019-01-01,9.5
2020-01-01,9.0
2021-01-01,8.7
2022-01-01,5.9
