DATE,TNRVAC
1986-01-01,6.0
1987-01-01,7.6
1988-01-01,7.2
1989-01-01,9.1
1990-01-01,9.5
1991-01-01,8.5
1992-01-01,6.0
1993-01-01,4.6
1994-01-01,4.6
1995-01-01,5.4
1996-01-01,5.4
1997-01-01,7.2
1998-01-01,7.4
1999-01-01,8.2
2000-01-01,7.1
2001-01-01,9.5
2002-01-01,10.4
2003-01-01,8.3
2004-01-01,10.0
2005-01-01,10.3
2006-01-01,10.5
2007-01-01,9.2
2008-01-01,12.1
2009-01-01,12.8
2010-01-01,12.5
2011-01-01,12.0
2012-01-01,11.6
2013-01-01,8.9
2014-01-01,8.5
2015-01-01,7.5
2016-01-01,7.4
2017-01-01,7.8
2018-01-01,8.6
2019-01-01,10.1
2020-01-01,8.0
2021-01-01,7.3
2022-01-01,7.3
