DATE,TXRVAC
1986-01-01,16.2
1987-01-01,17.1
1988-01-01,14.5
1989-01-01,12.5
1990-01-01,9.7
1991-01-01,9.6
1992-01-01,8.9
1993-01-01,8.9
1994-01-01,7.9
1995-01-01,8.2
1996-01-01,8.0
1997-01-01,8.4
1998-01-01,8.6
1999-01-01,9.3
2000-01-01,10.8
2001-01-01,10.3
2002-01-01,12.6
2003-01-01,14.1
2004-01-01,13.9
2005-01-01,13.6
2006-01-01,13.5
2007-01-01,13.8
2008-01-01,12.3
2009-01-01,13.0
2010-01-01,13.3
2011-01-01,12.3
2012-01-01,10.4
2013-01-01,10.1
2014-01-01,9.5
2015-01-01,9.6
2016-01-01,9.4
2017-01-01,9.8
2018-01-01,8.9
2019-01-01,9.5
2020-01-01,8.6
2021-01-01,8.4
2022-01-01,7.9
