DATE,UTRVAC
1986-01-01,21.5
1987-01-01,21.5
1988-01-01,25.8
1989-01-01,10.6
1990-01-01,12.6
1991-01-01,14.9
1992-01-01,14.6
1993-01-01,15.7
1994-01-01,7.1
1995-01-01,12.3
1996-01-01,13.4
1997-01-01,14.4
1998-01-01,14.6
1999-01-01,10.1
2000-01-01,7.6
2001-01-01,7.2
2002-01-01,6.5
2003-01-01,8.2
2004-01-01,8.9
2005-01-01,7.0
2006-01-01,5.7
2007-01-01,5.5
2008-01-01,7.4
2009-01-01,8.3
2010-01-01,7.2
2011-01-01,6.4
2012-01-01,7.7
2013-01-01,6.7
2014-01-01,8.6
2015-01-01,5.1
2016-01-01,5.7
2017-01-01,6.2
2018-01-01,5.4
2019-01-01,3.8
2020-01-01,5.3
2021-01-01,4.4
2022-01-01,4.5
