DATE,VARVAC
1986-01-01,6.0
1987-01-01,7.0
1988-01-01,7.3
1989-01-01,6.6
1990-01-01,5.8
1991-01-01,10.3
1992-01-01,8.2
1993-01-01,7.7
1994-01-01,8.9
1995-01-01,7.6
1996-01-01,7.4
1997-01-01,6.3
1998-01-01,8.4
1999-01-01,9.0
2000-01-01,7.7
2001-01-01,7.9
2002-01-01,8.0
2003-01-01,9.0
2004-01-01,11.4
2005-01-01,7.8
2006-01-01,8.3
2007-01-01,9.7
2008-01-01,10.0
2009-01-01,10.3
2010-01-01,10.5
2011-01-01,9.9
2012-01-01,9.5
2013-01-01,7.3
2014-01-01,7.4
2015-01-01,6.6
2016-01-01,7.0
2017-01-01,6.7
2018-01-01,6.5
2019-01-01,7.0
2020-01-01,6.5
2021-01-01,5.4
2022-01-01,4.9
