DATE,VTRVAC
1986-01-01,4.7
1987-01-01,4.8
1988-01-01,2.6
1989-01-01,2.9
1990-01-01,6.2
1991-01-01,6.5
1992-01-01,5.3
1993-01-01,5.2
1994-01-01,10.3
1995-01-01,5.3
1996-01-01,4.2
1997-01-01,3.7
1998-01-01,5.7
1999-01-01,3.6
2000-01-01,3.8
2001-01-01,6.1
2002-01-01,3.8
2003-01-01,4.0
2004-01-01,4.7
2005-01-01,4.4
2006-01-01,3.6
2007-01-01,4.9
2008-01-01,3.5
2009-01-01,5.4
2010-01-01,6.1
2011-01-01,4.2
2012-01-01,4.2
2013-01-01,5.7
2014-01-01,5.0
2015-01-01,4.5
2016-01-01,4.5
2017-01-01,3.6
2018-01-01,4.2
2019-01-01,4.4
2020-01-01,3.3
2021-01-01,2.5
2022-01-01,3.5
