DATE,WARVAC
1986-01-01,4.2
1987-01-01,4.7
1988-01-01,4.2
1989-01-01,5.5
1990-01-01,3.3
1991-01-01,4.1
1992-01-01,4.1
1993-01-01,5.0
1994-01-01,5.9
1995-01-01,6.0
1996-01-01,5.6
1997-01-01,4.4
1998-01-01,6.2
1999-01-01,5.1
2000-01-01,4.9
2001-01-01,7.8
2002-01-01,7.6
2003-01-01,10.1
2004-01-01,9.6
2005-01-01,6.8
2006-01-01,6.3
2007-01-01,4.5
2008-01-01,5.3
2009-01-01,7.4
2010-01-01,7.0
2011-01-01,6.0
2012-01-01,5.9
2013-01-01,4.5
2014-01-01,4.9
2015-01-01,4.6
2016-01-01,3.8
2017-01-01,3.5
2018-01-01,5.1
2019-01-01,4.1
2020-01-01,3.8
2021-01-01,4.5
2022-01-01,4.7
