DATE,WIRVAC
1986-01-01,4.7
1987-01-01,4.7
1988-01-01,4.2
1989-01-01,4.1
1990-01-01,3.3
1991-01-01,4.6
1992-01-01,4.9
1993-01-01,4.0
1994-01-01,4.6
1995-01-01,5.7
1996-01-01,5.5
1997-01-01,4.9
1998-01-01,6.4
1999-01-01,6.0
2000-01-01,4.7
2001-01-01,4.8
2002-01-01,6.5
2003-01-01,8.9
2004-01-01,9.1
2005-01-01,9.0
2006-01-01,8.2
2007-01-01,7.9
2008-01-01,8.8
2009-01-01,9.1
2010-01-01,8.6
2011-01-01,6.6
2012-01-01,6.3
2013-01-01,6.3
2014-01-01,4.6
2015-01-01,5.3
2016-01-01,5.3
2017-01-01,4.8
2018-01-01,4.6
2019-01-01,4.8
2020-01-01,4.3
2021-01-01,4.7
2022-01-01,4.6
