DATE,WVRVAC
1986-01-01,9.1
1987-01-01,8.8
1988-01-01,10.6
1989-01-01,11.5
1990-01-01,8.2
1991-01-01,6.3
1992-01-01,5.4
1993-01-01,6.0
1994-01-01,8.5
1995-01-01,7.6
1996-01-01,5.8
1997-01-01,7.5
1998-01-01,9.5
1999-01-01,9.4
2000-01-01,10.0
2001-01-01,11.0
2002-01-01,11.9
2003-01-01,11.9
2004-01-01,10.0
2005-01-01,11.9
2006-01-01,10.8
2007-01-01,9.6
2008-01-01,11.4
2009-01-01,9.5
2010-01-01,8.2
2011-01-01,7.9
2012-01-01,8.1
2013-01-01,10.6
2014-01-01,9.1
2015-01-01,8.3
2016-01-01,8.7
2017-01-01,8.7
2018-01-01,7.4
2019-01-01,5.8
2020-01-01,6.5
2021-01-01,6.5
2022-01-01,8.1
