DATE,WYRVAC
1986-01-01,15.0
1987-01-01,16.8
1988-01-01,12.0
1989-01-01,12.1
1990-01-01,7.9
1991-01-01,7.7
1992-01-01,6.7
1993-01-01,5.5
1994-01-01,6.7
1995-01-01,5.0
1996-01-01,6.4
1997-01-01,8.2
1998-01-01,9.8
1999-01-01,10.3
2000-01-01,8.1
2001-01-01,7.8
2002-01-01,7.5
2003-01-01,9.4
2004-01-01,5.6
2005-01-01,6.0
2006-01-01,4.6
2007-01-01,5.4
2008-01-01,4.7
2009-01-01,6.3
2010-01-01,8.3
2011-01-01,6.5
2012-01-01,5.4
2013-01-01,7.6
2014-01-01,8.0
2015-01-01,9.8
2016-01-01,12.2
2017-01-01,14.7
2018-01-01,13.0
2019-01-01,8.1
2020-01-01,9.4
2021-01-01,8.0
2022-01-01,7.2
