DATE,value,Date
1988-01-01,38.922936867319706,1988-01-01
1988-02-01,34.2505270648269,1988-02-01
1988-03-01,42.7273422469935,1988-03-01
1988-04-01,155.18099822564,1988-04-01
1988-05-01,42.51937332445221,1988-05-01
1988-06-01,40.2251542639032,1988-06-01
1988-07-01,41.581439568552,1988-07-01
1988-08-01,45.0504899316473,1988-08-01
1988-09-01,70.86868351571091,1988-09-01
1988-10-01,40.4924169470025,1988-10-01
1988-11-01,44.8106101149206,1988-11-01
1988-12-01,36.766175287174605,1988-12-01
1989-01-01,19.4891256188478,1989-01-01
1989-02-01,20.171343871864,1989-02-01
1989-03-01,41.3499364882881,1989-03-01
1989-04-01,54.3983945158642,1989-04-01
1989-05-01,49.5710940784857,1989-05-01
1989-06-01,47.1142786950418,1989-06-01
1989-07-01,47.2818227877401,1989-07-01
1989-08-01,58.2314463897795,1989-08-01
1989-09-01,56.8888864872964,1989-09-01
1989-10-01,41.3976506220821,1989-10-01
1989-11-01,50.6633430392939,1989-11-01
1989-12-01,36.406615169594495,1989-12-01
1990-01-01,55.1598845226049,1990-01-01
1990-02-01,53.0403757680334,1990-02-01
1990-03-01,42.5044695996161,1990-03-01
1990-04-01,44.0521799869402,1990-04-01
1990-05-01,56.58983058955141,1990-05-01
1990-06-01,48.51190571425921,1990-06-01
1990-07-01,41.5215387304698,1990-07-01
1990-08-01,36.13926429714571,1990-08-01
1990-09-01,31.0778576560419,1990-09-01
1990-10-01,43.722160638826,1990-10-01
1990-11-01,43.098095697427794,1990-11-01
1990-12-01,45.7638558442915,1990-12-01
1991-01-01,34.0790379769594,1991-01-01
1991-02-01,37.7436471917082,1991-02-01
1991-03-01,43.0458675571225,1991-03-01
1991-04-01,45.1142001596264,1991-04-01
1991-05-01,43.6646758814362,1991-05-01
1991-06-01,52.11327002359629,1991-06-01
1991-07-01,82.4690625002163,1991-07-01
1991-08-01,62.5467589942231,1991-08-01
1991-09-01,59.771433517842,1991-09-01
1991-10-01,80.6693671732298,1991-10-01
1991-11-01,46.643076589456,1991-11-01
1991-12-01,143.350993681871,1991-12-01
1992-01-01,45.7602530030104,1992-01-01
1992-02-01,95.6177452790349,1992-02-01
1992-03-01,93.47077863884373,1992-03-01
1992-04-01,88.42617972066928,1992-04-01
1992-05-01,51.17452657425589,1992-05-01
1992-06-01,69.24079299489951,1992-06-01
1992-07-01,67.25107961096829,1992-07-01
1992-08-01,59.763904905074206,1992-08-01
1992-09-01,84.6252684965367,1992-09-01
1992-10-01,92.8003978908091,1992-10-01
1992-11-01,72.80588664821249,1992-11-01
1992-12-01,54.56582424137589,1992-12-01
1993-01-01,92.20702903061172,1993-01-01
1993-02-01,48.6214894727861,1993-02-01
1993-03-01,65.3918212740366,1993-03-01
1993-04-01,78.8916348551896,1993-04-01
